tmstamp,value,tag_id,topic,date
2025-01-02 10:15:00,0.0,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 10:20:00,20762.465,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 10:25:00,24151.768,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 10:30:00,30730.906,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 10:35:00,34912.44,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 10:40:00,32541.814,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 10:45:00,32151.303,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 10:50:00,31050.023,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 10:55:00,32476.883,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 11:00:00,29023.395,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 11:05:00,30956.72,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 11:10:00,33851.324,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 11:15:00,33969.977,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 11:20:00,33380.56,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 11:25:00,33021.023,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 11:30:00,32324.303,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 11:35:00,31430.209,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 11:40:00,30979.691,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 11:45:00,30380.395,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 11:50:00,29377.75,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 11:55:00,28609.762,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 12:00:00,28028.209,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 12:05:00,27203.303,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 12:10:00,26695.488,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 12:15:00,26199.72,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 12:20:00,25049.838,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 12:25:00,24557.744,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 12:30:00,24223.047,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 12:35:00,23421.162,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 12:40:00,22585.441,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 12:45:00,21783.186,12223,P0086H01/I002/Ptot,2025-01-02
2025-01-02 12:50:00,20796.139,12223,P0086H01/I002/Ptot,2025-01-02
