time,temp_c,cloud,date,user_object_id
2025-02-03 16:30:00,5.0,83.0,2025-02-03,70
2025-02-03 16:45:00,5.0,83.0,2025-02-03,70
2025-02-03 17:00:00,4.5,41.0,2025-02-03,70
2025-02-03 17:15:00,4.5,41.0,2025-02-03,70
2025-02-03 17:30:00,4.5,41.0,2025-02-03,70
2025-02-03 17:45:00,4.5,41.0,2025-02-03,70
2025-02-03 18:00:00,3.9,15.0,2025-02-03,70
2025-02-03 18:15:00,3.9,15.0,2025-02-03,70
2025-02-03 18:30:00,3.9,15.0,2025-02-03,70
2025-02-03 18:45:00,3.9,15.0,2025-02-03,70
2025-02-03 19:00:00,3.2,9.0,2025-02-03,70
2025-02-03 19:15:00,3.2,9.0,2025-02-03,70
2025-02-03 19:30:00,3.2,9.0,2025-02-03,70
2025-02-03 19:45:00,3.2,9.0,2025-02-03,70
2025-02-03 20:00:00,2.7,6.0,2025-02-03,70
2025-02-03 20:15:00,2.7,6.0,2025-02-03,70
2025-02-03 20:30:00,2.7,6.0,2025-02-03,70
2025-02-03 20:45:00,2.7,6.0,2025-02-03,70
2025-02-03 21:00:00,2.2,7.0,2025-02-03,70
2025-02-03 21:15:00,2.2,7.0,2025-02-03,70
2025-02-03 21:30:00,2.2,7.0,2025-02-03,70
2025-02-03 21:45:00,2.2,7.0,2025-02-03,70
2025-02-03 22:00:00,1.7,12.0,2025-02-03,70
2025-02-03 22:15:00,1.7,12.0,2025-02-03,70
2025-02-03 22:30:00,1.7,12.0,2025-02-03,70
2025-02-03 22:45:00,1.7,12.0,2025-02-03,70
2025-02-03 23:00:00,1.2,18.0,2025-02-03,70
2025-02-03 23:15:00,1.2,18.0,2025-02-03,70
2025-02-03 23:30:00,1.2,18.0,2025-02-03,70
2025-02-03 23:45:00,1.2,18.0,2025-02-03,70
2025-02-04 03:00:00,-0.3,29.0,2025-02-04,70
2025-02-04 03:15:00,-0.3,29.0,2025-02-04,70
2025-02-04 03:30:00,-0.3,29.0,2025-02-04,70
2025-02-04 03:45:00,-0.3,29.0,2025-02-04,70
2025-02-04 04:00:00,-0.5,18.0,2025-02-04,70
2025-02-04 04:15:00,-0.5,18.0,2025-02-04,70
2025-02-04 04:30:00,-0.5,18.0,2025-02-04,70
2025-02-04 04:45:00,-0.5,18.0,2025-02-04,70
2025-02-04 05:00:00,-0.7,16.0,2025-02-04,70
2025-02-04 05:15:00,-0.7,16.0,2025-02-04,70
2025-02-04 05:30:00,-0.7,16.0,2025-02-04,70
2025-02-04 05:45:00,-0.7,16.0,2025-02-04,70
2025-02-04 06:00:00,-0.9,32.0,2025-02-04,70
2025-02-04 06:15:00,-0.9,32.0,2025-02-04,70
2025-02-04 06:30:00,-0.9,32.0,2025-02-04,70
2025-02-04 06:45:00,-0.9,32.0,2025-02-04,70
2025-02-04 07:00:00,-1.1,59.0,2025-02-04,70
